Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Property Type,Property Type - Self Selected,Year Built,Energy Audit Due Date,Energy Audit Status,2020 Benchmark Status,2020 Reason for Exemption,2019 Benchmark Status,2019 Reason for Exemption,2018 Benchmark Status,2018 Reason for Exemption,2017 Benchmark Status,2017 Reason for Exemption,2016 Benchmark Status,2016 Reason for Exemption,2015 Benchmark Status,2015 Reason for Exemption,2014 Benchmark Status,2014 Reason for Exemption,2013 Benchmark Status,2013 Reason for Exemption,2012 Benchmark Status,2012 Reason for Exemption,2011 Benchmark Status,2011 Reason for Exemption,2020 ENERGY STAR Score,2020 Site EUI (kBtu/ft2),2020 Source EUI (kBtu/ft2),2020 Percent Better than National Median Site EUI,2020 Percentage Better than National Median Source EUI,2020 Weather Normalized Site EUI (kBtu/ft2),2020 Weather Normalized Source EUI (kBtu/ft2),2019 ENERGY STAR Score,2019 Site EUI (kBtu/ft2),2019 Source EUI (kBtu/ft2),2019 Percent Better than National Median Site EUI,2019 Percentage Better than National Median Source EUI,2019 Weather Normalized Site EUI (kBtu/ft2),2019 Weather Normalized Source EUI (kBtu/ft2),2018 ENERGY STAR Score,2018 Site EUI (kBtu/ft2),2018 Source EUI (kBtu/ft2),2018 Percent Better than National Median Site EUI,2018 Percent Better than National Median Source EUI,2018 Weather Normalized Site EUI (kBtu/ft2),2018 Weather Normalized Source EUI (kBtu/ft2),2017 ENERGY STAR Score,2017 Site EUI (kBtu/ft2),2017 Source EUI (kBtu/ft2),2017 Percent Better than National Median Site EUI,2017 Percent Better than National Median Source EUI,2017 Weather Normalized Site EUI (kBtu/ft2),2017 Weather Normalized Source EUI (kBtu/ft2),2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percent Better than National Median Source EUI,2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percent Better than National Median Source EUI,2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/ft2),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
0315/011,Handlery Hotel,260 OFARRELL ST,94102,97000,Commercial,Hotel,1965,2019-04-01 0:00:00,Complied,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,,,,,,100,17.3,48.5,-62,-62,17.3,48.5,100,18.8,52.6,-58.6,-58.6,19.3,54.2,91,19.9,62.5,-40.9,-40.9,19.8,62.3,91,19.7,61.9,-40.4,-40.4,19.6,61.4,87,21.5,67.4,-35,-35,21.1,66.2,85,21.8,68.6,-32.7,-32.7,21.1,66.2,90,21.1,66.3,-38.9,-38.9,21.4,67.2,90,20.9,69.8,-39.5,,21,70.2,91,20.7,,-40.9,,21.3,
0629/034,University of the Pacifc,2155 WEBSTER ST,94115,193173,Mixed Residential,Arts & Culture,1900,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Building Not Subject,Exempt,Building Not Subject,Exempt,New Construction,Exempt,New Construction,Exempt,New Construction,Complied,,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0065/015,901 COLUMBUS AVE,901 COLUMBUS AVE,94133,99333,Mixed Residential,,1916,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128/001,1817 EDDY ST,1817 EDDY ST,94115,82320,Multifamily,Multifamily Housing,1991,,,Violation - Did Not Report,,Complied,,Exempt,PG&E will not provide data,,,,,,,,,,,,,,,,,,,,,,82,53.7,80.6,-21.7,-21.7,53.7,80.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4167/003,Trayer Engineering Corp.,898 PENNSYLVANIA AVE,94107,35044,Commercial,Manufacturing/Industrial Plant,1979,2019-04-01 0:00:00,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,,,,,,,,,64.8,173.8,,,67.5,176.5,,66.1,180.7,,,71.8,186.7,,75.7,215,,,76.9,216.2,,43.9,122.3,,,46.9,125.5,,55.1,144.8,,,55.3,145,,24.8,55,,,24.8,55,,,,,,,
3503/003,1745 MARKET ST,1745 MARKET ST,94103,58535,Mixed Residential,Multifamily Housing,1909,,,Complied,,Complied,,Violation - Did Not Report,,,,,,,,,,,,,,,,,46.9,67,21.5,21.5,47.9,68.1,13,51.3,74.2,32.8,32.8,52.2,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3722/004,144 Second Street,144 2ND ST,94105,24564,Commercial,Office,1908,2021-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,,109.2,169,-9,-9,109.2,169,30,117.8,180.7,29.1,29.1,117.8,180.7,5,160.2,263.5,111.3,111.3,160.2,263.5,4,179.7,302.8,98,98,178.1,297.8,,,,,,,,34,120.9,230.9,19,19,123.3,229.8,51,95.9,188,-1.8,-1.8,96.9,183.2,58,101.9,178.1,-8.5,-8.6,102.2,178.5,,,,,,,,,,,,,,
0738/020,995 ELLIS ST,995 ELLIS ST,94109,88806,Mixed Residential,Multifamily Housing,1931,,,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,,81.3,109.6,10.3,10.3,81.3,109.6,88,59.8,79.1,-21.9,-21.9,61.9,81.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3707/016,90 New Montgomery,90 NEW MONTGOMERY ST,94105,136728,Commercial,Office,1988,2023-04-01 0:00:00,Upcoming,Complied,,Complied,,Complied,,Data Not Verified,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,,55.8,123.3,-43.2,-43.2,58,125.6,78,63.7,141.1,-34.3,-34.3,65.2,142.6,74,57.6,126.7,-30,-30,57.6,127.1,74,58.9,131.4,-29.9,-29.9,59.6,130.9,79,61.7,149.9,-31.2,-31.2,64.1,152.5,78,60.5,154.1,-30,-30,60.9,153.5,79,59.2,151.4,-30.8,-30.8,59.8,149.2,,56.7,142.7,-3.6,-3.6,57,143,,,,,,,,81,58.2,,-32.9,,58.2,
3639/004B,3050 23rd Street,3050 23RD ST,94110,18375,Commercial,Retail Store,1964,2021-04-01 0:00:00,Did Not Comply,Violation - Did Not Report,,Exempt,Change in Ownership,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,89,10.8,23.4,-50.5,-50.5,10.8,23.4,32,21.3,41.1,26.1,26.1,21.3,41.1,71,9.3,23.1,-27.5,-27.5,9.3,23.1,72,9.2,22.5,-28,-28,9.7,23,65,10.2,23.6,-19.9,-19.9,10.2,23.6,68,13.2,26.7,-24.3,-24.3,11.8,25,,,,,,,,,,,,,,
7255/002,Save Mart - Lucky #755,1515 SLOAT BLVD,94132,49500,Commercial,Supermarket/Grocery Store,1992,2019-04-01 0:00:00,Complied,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,63,163.7,458.4,-13.4,-13.4,163.7,458.4,62,158.2,496.9,-8.2,-8.2,158.2,496.9,59,158.6,497.9,-6,-6,158.6,497.9,62,156,489.9,-8,-8,156,489.9,62,154.3,484.4,-8.2,-8.2,154.3,484.4,68,154.1,483.8,-11.8,-11.9,154.1,483.8,63,159.5,500.7,-8.8,-8.8,160.9,505.1,,,,,,,
0523/013,1472 FILBERT ST,1472 FILBERT ST,94109,58287,Mixed Residential,Multifamily Housing,1927,,,Violation - Insufficient Data,,Complied,,Complied,,,,,,,,,,,,,,,,,,,,,,,63,65.8,84.7,-8.1,-8.1,69.7,88.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3758/131,Mission Motors,1177 HARRISON ST,94103,15800,Commercial,Office,1919,2019-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Tenant Turnover,Exempt,Tenant Turnover,Exempt,Tenant Turnover,Complied,,Exempt,SqFt Not Subject This Year,,13.1,27.1,-84.1,-84.1,13.1,27.1,76,57.3,115.9,-32.3,-32.3,57.7,116.3,82,44.7,95.9,-40.4,-40.4,47.6,98.9,93,39.7,96.3,-49.9,-49.9,41.4,98.1,99,20.8,65.3,-65.7,-65.7,20.8,65.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3508/039,875 Stevenson,875 STEVENSON ST,94103,368280,Commercial,Office,1975,2020-04-01 0:00:00,Exempt - ENERGY STAR,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Complied,,Exempt,Vacancy,,37.2,88.2,-58.2,-58.2,37.6,88.7,91,55.4,126.1,-53.8,-53.8,55.2,125.5,92,54,119.3,-54.6,-54.6,54.6,120.1,95,51.9,124.1,-54.5,-54.5,52.7,124.8,,43.4,98,-33.8,-33.8,43.4,98,,,,,,,,,,,,,,,,,,,,,,,36.4,65.7,-46.5,,35.3,64.6,,,,,,,
1085/044,3445 GEARY BLVD,3445 GEARY BLVD,94118,89075,Mixed Residential,Multifamily Housing,2001,,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,35.3,81.9,6,6,35.4,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3728/048,Storek,149 9TH ST,94103,34149,Commercial,Office,1923,2023-04-01 0:00:00,Upcoming,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,,,,,,,,,2.7,6.6,-94.3,-94.3,2.7,6.6,99,8.8,22.6,-77.3,-77.3,8.8,22.6,100,11.4,32.7,-79.2,-79.2,11.4,32.7,100,11.2,32.6,-80.3,-80.3,11.3,32.7,100,12.8,37.5,-78,-78,12.9,37.6,100,13.8,40.4,-76.5,-76.5,13.9,40.5,100,13.9,40.8,-76.6,-76.6,13.9,40.8,,,,,,,,,,,,,,
3938/001,"Jessica McClintock, INC.",1400 16TH ST,94103,100850,Commercial,Mixed Use Property,1938,2014-04-01 0:00:00,Did Not Comply,Complied,,Complied,,Complied,,Complied,,Exempt,,Exempt,New Construction,Exempt,New Construction,Exempt,Change in Ownership,Exempt,Change in Ownership,Complied,,,98,258.5,189.5,189.5,98.5,259,,73.1,195.5,119,119,73.2,195.6,,65.3,174.7,95.7,95.7,65.2,174.6,,46.4,139.2,13.1,13.1,46.4,139.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,11.3,,-34.6,,11,
3548/031,Walden House,1885 MISSION ST,94103,24708,Commercial,Office,1925,2019-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Exempt,,Exempt,Vacancy,Complied,,Complied,,Complied,,Complied,,,4.4,9.7,-91.7,-91.7,4.5,9.8,,19.2,46.7,-63.7,-63.7,19.3,46.8,96,21.3,54.4,-64,-64,21.3,54.4,99,11.6,30.4,-77.2,-77.2,11.6,30.4,,,,,,,,,,,,,,,100,18.1,45.5,-73,-73,18.1,45.5,98,24.8,57.9,-64.7,-64.7,23.5,56.5,98,27.3,59.4,-63.8,,26.3,58.3,,,,,,,
0312/008,Grant & Geary,77 GEARY ST,94108,120971,Commercial,Office,1929,2018-04-01 0:00:00,Complied,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,,,,,,,,,,,,,,,79,39.6,107.9,-35.4,-35.4,39.6,107.8,68,47.9,134,-22.1,-22.1,47.4,132.7,91,36.6,112.6,-46.4,-46.4,36.6,112.6,91,38,113.5,-47,-47,38,113.5,94,32.1,99.5,-52.8,-52.8,32.1,99.5,97,28.7,87.4,-59.4,-59.4,28.7,87.5,97,30,89.6,-58.7,-58.7,30,89.6,,,,,,,
0731/018,1510 Eddy St,1510 Eddy St,94115,482898,Mixed Residential,Multifamily Housing,,,,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,,29.3,67.7,-34.7,-34.7,29.7,68.4,94,31.4,72.7,-30.4,-30.4,31.5,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3582/085,429 CASTRO ST,429 CASTRO ST,94114,11000,Commercial,Movie Theater,1922,2022-04-01 0:00:00,Upcoming,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,,,,,,,,,99.7,202.7,138.1,138.1,99.7,202.7,,84.7,185.1,117.4,117.4,87.6,188.1,,97.6,219.1,157,157,105.9,227.7,,85.6,208.3,144.8,144.8,85.6,208.3,,112.8,242.7,185.2,185.2,99.6,228.8,,,,,,,,,,,,,,
0260/003,Shanghai Commercial Bank Building,231 SANSOME ST,94104,24444,Commercial,Office,1925,2023-04-01 0:00:00,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,32.9,72,-38.1,-38.1,32.9,72,89,35.9,83,-50.6,-50.6,38,85.5,88,31.5,77.9,-49,-49,31.2,77.5,92,36.7,95,-48.7,-48.7,38,96.6,82,44.6,113.8,-34.6,-34.6,43.4,110.2,78,51.3,124.8,-30,-30,50.4,122,81,48.7,117.2,-32.9,-32.9,47.5,113.3,83,48.8,114.2,-36.2,-36.2,48.8,114.1,,,,,,,,,,,,,,
3519/001,1301 Folsom,1301 FOLSOM ST,94103,27000,Commercial,Other,1942,2023-04-01 0:00:00,Upcoming,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Vacancy,Exempt,Change in Ownership,Violation - Insufficient Data,,Exempt,Vacancy,Exempt,Tenant Turnover,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.3,318.5,,,110.9,315.9,,111.1,340.9,58.7,,112.8,347.5,,,,,,,
0141/002,840-848 Battery St,840 BATTERY ST,94111,63959,Commercial,Office,1931,2018-04-01 0:00:00,Pending - Contracted,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,51.1,87.1,-42.2,-42.2,60.8,97.3,52,78.9,146.4,-3,-3,84.9,152.7,47,80.4,147.8,2.8,2.8,82.1,149.6,40,101.1,203.7,9.9,9.9,105.9,208.7,35,101.3,208.2,14.5,14.5,106.2,208.3,30,107.9,221.3,21,21,108.5,218.3,2,118.4,240.9,,,125.2,244.3,,123.5,258.7,38.5,38.4,123,257.7,,,,,,,,,,,,,,
3749/059,43 LANSING ST,43 LANSING ST,94105,454539,Mixed Residential,Multifamily Housing,1961,,,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,,47.7,87.3,-8.4,-8.4,50,89.8,66,45.9,87.3,-10.2,-10.2,47.1,88.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0252/016,1038 LEAVENWORTH ST,1038 LEAVENWORTH ST,94109,46634,Mixed Residential,,1907,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071/001,3 MASONIC AVE,3 MASONIC AVE,94118,14025,Commercial,Supermarket/Grocery Store,1900,2020-04-01 0:00:00,Did Not Comply,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Violation - Did Not Report,,Complied,,Complied,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,,272.2,574.9,-39,-39,274.1,576.8,85,296.8,602.1,-36.2,-36.2,296.8,602.1,66,424.2,792.1,-15.6,-15.6,422.3,790.2,79,322.6,664.1,-29.6,-29.6,327.9,669.7,100,152.9,160.6,-67.9,-67.9,156.8,164.7,,,,,,,,9,287.9,666,38.8,38.8,302.9,681.7,13,297.1,663.8,32.2,32.2,290.2,656.6,,,,,,,,,,,,,,
4991/475,301 CRESCENT CT,301 CRESCENT CT,94124,183934,Mixed Residential,Multifamily Housing,2007,,,Complied,,Complied,,Exempt,,,,,,,,,,,,,,,,,12.8,35.9,-49.6,-49.6,12.8,35.9,100,9.4,26.2,-63.5,-63.5,9.4,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5211/033,3450 3RD ST #2 B,3450 3RD ST #2 B,94124,10837,Commercial,Office,1987,2020-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,,21.4,59.9,-57.7,-57.7,21.6,60.4,92,22,61.7,-56.6,-56.6,22,61.7,98,13.8,38.5,-70.8,-70.8,13.8,38.5,100,8.1,22.7,-83.2,-83.2,8.1,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0349/004,Civic Center Residence,44 MCALLISTER ST,94102,58608,Mixed Residential,Multifamily Housing,1923,,,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,,69.8,126.8,-37.7,-37.7,71.5,128.9,91,83.7,141.4,-30.8,-30.8,85.2,143.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5332/023,75 INDUSTRIAL ST,75 INDUSTRIAL ST,94124,18000,Commercial,Other,1956,2021-04-01 0:00:00,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Exempt,Tenant Turnover,Exempt,Tenant Turnover,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,126.8,349.5,291.5,291.5,126.8,349.5,,130.6,360.4,303.7,303.7,130.6,360.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0113/006,200 Green Street,200 GREEN ST,94133,18407,Commercial,Office,1923,2020-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,20.6,56.5,-51.5,-51.5,20.6,56.5,81,33.9,92.5,-38.6,-38.6,33.9,92.5,81,35,94.8,-38.2,-38.2,35,94.8,74,35.8,106.1,-25.7,-25.7,36.2,106.5,85,26.4,78.5,-38,-38,26.8,79,89,28,82.4,-43,-43,27.9,81.3,90,32.4,92.4,-45.9,-45.9,33.2,92,87,37.4,101,-41.2,-41.2,37.5,101.1,,,,,,,,,,,,,,
5314/001,1900 OAKDALE AVE,1900 OAKDALE AVE,94124,39996,Commercial,Non-Refrigerated Warehouse,1962,2020-04-01 0:00:00,Pending - Waiting for Clarification,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,,10.1,25.6,-27.5,-27.5,10.4,25.9,65,11.6,27.6,-22,-22,11.7,27.7,79,8.9,19.9,-41.7,-41.7,9.3,20.3,85,8.3,22,-43.7,-43.7,8.6,22.4,84,8.3,22.6,-42.1,-42.1,8.9,23.3,83,8.2,23.3,-40,-40,8.5,23.6,81,8.2,24,-37.5,-37.5,8.2,24,75,9.8,27.8,-30.4,-30.4,9.6,27.6,,,,,,,,,,,,,,
3956/011,370 DE HARO ST,370 DE HARO ST,94103,99269,Mixed Residential,,2001,,,Violation - Did Not Report,,Exempt,PG&E will not provide data,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3986/001,1111 17th Street,1111 17TH ST,94107,66000,Commercial,Manufacturing/Industrial Plant,1948,2019-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,142.1,297.5,,,142.1,297.5,,132,283,,,132,283,,167.5,356.5,,,167.5,356.5,,183.1,427.2,,,183.1,427.2,,171.2,408.6,231.9,231.9,171.2,408.6,,161.1,378,207,207,161.1,378,,177.5,418.4,239.8,239.8,172.9,404,,153.4,358.8,191.1,191.5,153.3,358.2,,142.1,332.5,170.2,170.1,142.1,332.5,,136.9,,165.4,,136.9,
3572/024,2055 FOLSOM ST,2055 FOLSOM ST,94110,42060,Commercial,Office,1980,2021-04-01 0:00:00,Did Not Comply,Complied,,Complied,,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,,17.3,40.4,-66.7,-66.7,17.8,40.8,96,17.3,41.2,-66.3,-66.3,17.4,41.3,,,,,,,,99,14.8,43.6,-68.3,-68.3,15.1,43.7,91,24.9,67.9,-49.7,-49.7,25.7,68.8,95,20.9,59.1,-56,-56,21.3,59.5,91,30.4,95.5,-47.2,-47.2,30.4,95.5,94,28.8,90.5,-51.8,-51.8,28.8,90.5,,,,,,,,,,,,,,
3789/444,South Beach Marina Apartments,650 DELANCEY ST,94107,483960,Mixed Residential,,1996,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3715/007,166 Embarcadero,169 STEUART ST,94105,112615,Commercial,Other,1926,2018-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,78.9,113.7,27.3,27.3,78.9,113.7,79,78.1,107.7,-30.6,-30.6,77.8,106.9,,142.7,238.9,167.6,167.6,143,239.7,,158.8,287.1,133.2,133.2,161.9,288.9,,153,277.7,125.5,125.5,158.7,283.7,,149.3,281.6,129,129,152.3,283.9,,153.2,287.2,133.3,133.3,157.8,290.4,,163.3,296.9,141.1,141.1,163.7,297.3,,159.6,276.2,124.5,,156.9,273.3,98,20.5,,-55.9,,20.2,
3915/001,SF Design Center - Galleria,101 HENRY ADAMS ST,94103,294475,Commercial,Enclosed Mall,1906,2019-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,16.6,41.5,-75.7,-75.7,16.8,41.7,,20.5,51.5,-69.9,-69.9,20.5,51.3,,19.8,49.9,-70.8,-70.8,20.2,50.3,,22.3,61.2,-74,-74,22.7,61.6,,21.9,61,-74.1,-74.1,22.5,61.7,,24.7,69.2,-71,-71,24.5,68.3,,27.2,78.1,-31.8,-31.8,27.7,78.5,,29.5,84.3,-26.2,-26.3,29.2,84,75,31.7,97.5,-30.9,,31.6,97.5,71,32.8,,-25.5,,32.3,
3735/010,620 Folsom Street,620 FOLSOM ST,94105,46451,Commercial,Office,1922,2021-04-01 0:00:00,Did Not Comply,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,,,,,,,,99,33.7,75,-65.7,-65.7,33.7,75,81,67.2,143.7,-33.2,-33.2,70.8,147.5,71,74.9,169,,,75.7,168.7,72,72.9,166.3,,,72.9,166.3,87,59.4,130.8,-40.6,-40.6,59.6,131,77,69.2,157.2,-29.2,,69.8,159.2,,,,,,,
3786/018,83 BLUXOME ST,83 BLUXOME ST,94107,27646,Commercial,Other,1900,2013-04-01 0:00:00,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,New Construction,Exempt,Demolition,Exempt,Demolition,Exempt,Demolition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700/081,1195 INGALLS ST,1195 INGALLS ST,94124,77649,Mixed Residential,,1996,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3705/037,James Bong Building,825 MARKET ST,94103,136850,Commercial,Office,1908,2018-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Insufficient Data,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,,26.3,63.7,-45.2,-45.2,26.8,64.2,,30.3,73.2,-37.1,-37.1,30.6,73.5,98,17.9,39.4,-69.6,-69.6,17.8,39.3,98,18.9,41.2,-69.9,-69.9,19.3,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,22.2,63.7,-65.7,,22.3,63.8,99,20.7,,-66.9,,20.2,
0816/003,SFJAZZ Center,205 Franklin Street,94102,36000,Commercial,Preforming Arts,2013,2021-04-01 0:00:00,Did Not Comply,Violation - Did Not Report,,Violation - Insufficient Data,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,,,,,,,,,,,,,,,,,,93.4,197,75.9,75.9,94.6,198.2,,90.7,210.9,147.8,147.8,92.1,212.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
